counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,DENSE_UNITS,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
64,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.016783799,0.079658357,486,318,36.22
65,[],3,1,1,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017486646,0.084329477,510,321,33.7
66,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,1,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.01755245,0.084467693,510,321,35.49
67,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017397302,0.082855046,490,318,34.82
68,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017149702,0.082513844,489,318,32.87
69,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.016850542,0.08264543,486,318,34.85
70,[],3,1,2,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017485606,0.084051613,510,321,50.3
71,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,2,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017656005,0.084170194,510,321,52.36
72,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017222604,0.083782251,490,318,50.71
73,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017153496,0.082607809,489,318,48.63
74,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017012313,0.082341944,486,318,50.3
75,[],3,1,2,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017526438,0.083953435,510,321,50.05
76,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,2,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017502394,0.084368698,510,321,52.13
77,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017084405,0.084123193,490,318,50.47
78,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017225152,0.082852788,489,318,48.66
79,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.016819919,0.082425894,486,318,50.57
80,[],3,1,3,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017666207,0.084499439,510,321,67.13
81,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,3,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017899327,0.084074745,510,321,69.96
82,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.01734281,0.085530112,490,318,66.7
83,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017331974,0.083961964,489,318,65.2
