,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,LSTM1,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time,DEPTH
46,46,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008863853,0.049386095,0.032358683,8490,5022,914.59,1
47,47,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009062676,0.04964109,0.032594591,8468,5022,975.92,1
48,48,[],7,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009672346,0.051075955,0.033680232,8710,5042,1250.51,1
49,49,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",7,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009924494,0.052676354,0.034745698,8497,5029,1293.64,1
50,50,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008250787,0.045357239,0.029546464,8490,5022,1255.85,1
51,51,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008524825,0.047534977,0.031012277,8468,5022,1314.87,1
52,52,[],7,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019928947,0.082263022,0.055373026,8710,5042,1605.03,1
53,53,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",7,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019606846,0.081650516,0.054931359,8497,5029,1577.19,1
54,54,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019234637,0.081304992,0.054449323,8490,5022,1606.66,1
55,55,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.018426768,0.079766754,0.053354147,8468,5022,1660.06,1
