,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
61,61,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.007281656674480965,0.04257748876465024,0.027303417897742002,0.031886284429965966,0.03494525273574941,4729,2677,233.98
62,62,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.007540173411464783,0.044291383750288627,0.02847484243413872,0.03327472063393936,0.036478063753571724,4719,2677,252.68
63,63,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008761029754308976,0.04825253854964286,0.030768969173812062,0.035828083096595444,0.038857561665656584,2419,1659,134.53
64,64,[],5,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.00868399872030619,0.04889318117860107,0.032104201537776406,0.037931649193312184,0.04204095835255773,4714,2677,272.27
65,65,"['DR_REGENM_10', 'RI_REGENM_10']",5,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008840111459717102,0.04907957003504285,0.03227040676231239,0.03814786266177288,0.042315418905078714,4611,2667,272.04
66,66,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",5,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.009994661991599076,0.05210019034775738,0.03425839297421691,0.04054835490211419,0.04493183158467178,4598,2504,277.97
67,67,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",5,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008761735842878756,0.047763613457956974,0.03128459889094451,0.036904296981202254,0.040788196846821674,4444,2645,271.19
68,68,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.00885729263211631,0.049266444729033715,0.03231421587502994,0.03813201623397673,0.042196953669414984,4601,2671,294.04
69,69,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.0073697022882480085,0.04239104194946397,0.027317215956457603,0.03204519659937294,0.035082773620758824,4599,2668,278.35
70,70,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.007689975933114606,0.045225387107522524,0.029317310546371603,0.03446705162515522,0.03781114068462476,4588,2668,299.48
