,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
53,53,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,32,5,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.012233986718001678,0.06195735568026386,0.0407715791301481,0.04828910121782816,0.053363704213841574,4731,2510,149.38
54,54,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,32,5,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.010541322277473626,0.05754666178298408,0.037698026859325946,0.04447898167885325,0.049001536412835466,4586,2654,139.12
55,55,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,32,5,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.010421421336690554,0.057196905401325965,0.03747108973189429,0.04417808864510706,0.04856153019255418,4732,2679,156.08
56,56,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,5,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.0090071292750071,0.05113397306457574,0.03308620458113221,0.038725954594397045,0.04243104136705462,4729,2677,145.36
57,57,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,5,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009342381142482214,0.053198215804706586,0.03443980061551185,0.04039180755871723,0.04421978836658078,4719,2677,159.93
58,58,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,5,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.010719535553262681,0.05932957363876505,0.03823972404785485,0.04453629336925423,0.04858301508713815,2338,1654,89.06
59,59,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,32,5,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.011858635875557048,0.0670093642842999,0.04405666029984827,0.051964159119459695,0.0572349207929036,4841,2684,156.98
60,60,[],3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.008364142872524714,0.04589511143590813,0.029884343144740286,0.035196225363884164,0.039082086150762224,4841,2684,141.8
61,61,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.009466682181739457,0.05207797258568249,0.03331579719183699,0.038964858376774304,0.042455024893780495,2419,1659,84.49
62,62,"['DR_REGENM_10', 'RI_REGENM_10']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.008473773407404118,0.04732093121976014,0.030868308113181066,0.03637671514339314,0.04023742623574667,4746,2676,141.8
